,video_id,artist,song
33505,rItv9i6c7AY,Luke Combs,Beautiful Crazy
33514,VYOjWnS4cMY,Childish Gambino,This Is America
33546,Ab5aV-wekP0,Tory Lanez,B.I.D
33586,Wpm07-BGJnE,Nicki Minaj,Chun-Li
33596,CX11yw6YL1w,Céline Dion,Ashes (from the Deadpool 2 Motion Picture Soundtrack)
33639,KUUjtUP2CrE,Carrie Underwood,Cry Pretty (Official Music Video)
33641,FRjOSmc01-M,"Kygo, Miguel",Remind Me to Forget
33714,VYOjWnS4cMY,Childish Gambino,This Is America
33748,Ab5aV-wekP0,Tory Lanez,B.I.D
33916,VYOjWnS4cMY,Childish Gambino,This Is America
33952,2PH7dK6SLC8,John Mayer,New Light
33976,Ab5aV-wekP0,Tory Lanez,B.I.D
34065,HbaQ9xnoMGQ,Five Finger Death Punch,Sham Pain
34131,VYOjWnS4cMY,Childish Gambino,This Is America
34142,a494JG9OGwQ,Cœur de pirate,Dans la nuit  (feat. Loud) [vidéoclip officiel]
34159,2PH7dK6SLC8,John Mayer,New Light
34222,q1jzwV_s8_Y,Christina Aguilera,Twice (Audio)
34246,Ab5aV-wekP0,Tory Lanez,B.I.D
34256,8-mloCL49vs,Karol G,Mi Cama
34309,HbaQ9xnoMGQ,Five Finger Death Punch,Sham Pain
34350,wOteLmvdQzY,James TW,Say Love
34361,VYOjWnS4cMY,Childish Gambino,This Is America
34391,oBAlEGWDLXQ,"Jhay Cortez, J. Balvin",Están Pa´ Mí
34416,2PH7dK6SLC8,John Mayer,New Light
34546,71Es-8FfATo,Arctic Monkeys,Four Out Of Five
34716,71Es-8FfATo,Arctic Monkeys,Four Out Of Five
34794,wOteLmvdQzY,James TW,Say Love
34948,71Es-8FfATo,Arctic Monkeys,Four Out Of Five
35080,wOteLmvdQzY,James TW,Say Love
35233,71Es-8FfATo,Arctic Monkeys,Four Out Of Five
35287,6SuMbFuKDf8,Backstreet Boys,Don't Go Breaking My Heart
35399,H7gh2fmdjCU,Calum Scott,What I Miss Most
35487,6SuMbFuKDf8,Backstreet Boys,Don't Go Breaking My Heart
35601,H7gh2fmdjCU,Calum Scott,What I Miss Most
35614,gpEXtApenaw,Russ,Back To Life (Prod. Scott Storch) (Official Audio)
35686,6SuMbFuKDf8,Backstreet Boys,Don't Go Breaking My Heart
35700,pcJo0tIWybY,SZA,Garden (Say It Like Dat)
35773,gpEXtApenaw,Russ,Back To Life (Prod. Scott Storch) (Official Audio)
35839,#NAME?,Jessie Reyez,Body Count
35864,Hw8k0dW3Drk,Jessie J,Queen
35911,6SuMbFuKDf8,Backstreet Boys,Don't Go Breaking My Heart
35914,2in8XqiElwc,Nicki Minaj,Chun-Li (Live on SNL / 2018)
35934,pcJo0tIWybY,SZA,Garden (Say It Like Dat)
